Fold 0
train run device : cuda:0
{'epoch': 44, 'lr': 0.0008913130516324728, 'train_loss': 0.0021413106130617515, 'mae': 0.34698012, 'elapsed_time': 116.3226625919342}
{'epoch': 45, 'lr': 0.0008864040551740152, 'train_loss': 0.0019447854762641382, 'mae': 0.32398275, 'elapsed_time': 116.57789421081543}
{'epoch': 46, 'lr': 0.000881400952972015, 'train_loss': 0.001925994892776842, 'mae': 0.324638, 'elapsed_time': 116.19089460372925}
{'epoch': 47, 'lr': 0.0008763049794670771, 'train_loss': 0.0018148966785335161, 'mae': 0.29427323, 'elapsed_time': 116.31947922706604}
{'epoch': 48, 'lr': 0.0008711173920144113, 'train_loss': 0.001774770651948302, 'mae': 0.29183948, 'elapsed_time': 116.37267518043518}
{'epoch': 49, 'lr': 0.0008658394705735983, 'train_loss': 0.0019411142547648818, 'mae': 0.37375936, 'elapsed_time': 116.47847104072571}
{'epoch': 50, 'lr': 0.0008604725173927781, 'train_loss': 0.0018941683458958026, 'mae': 0.29165944, 'elapsed_time': 116.99018383026123}
{'epoch': 51, 'lr': 0.0008550178566873405, 'train_loss': 0.0019308251972483673, 'mae': 0.32116035, 'elapsed_time': 116.72602725028992}
{'epoch': 52, 'lr': 0.0008494768343131951, 'train_loss': 0.0025607720437114644, 'mae': 0.44362044, 'elapsed_time': 116.40890264511108}
{'epoch': 53, 'lr': 0.0008438508174347005, 'train_loss': 0.00224193619962873, 'mae': 0.35065117, 'elapsed_time': 116.09847664833069}
{'epoch': 54, 'lr': 0.0008381411941873374, 'train_loss': 0.0018859445962331562, 'mae': 0.288944, 'elapsed_time': 116.52777123451233}
{'epoch': 55, 'lr': 0.0008323493733352073, 'train_loss': 0.0018994464880291242, 'mae': 0.29814667, 'elapsed_time': 116.24154281616211}
{'epoch': 56, 'lr': 0.0008264767839234405, 'train_loss': 0.0018466092083255054, 'mae': 0.2714481, 'elapsed_time': 115.94671726226807}
{'epoch': 57, 'lr': 0.000820524874925601, 'train_loss': 0.0017640085751406795, 'mae': 0.26313257, 'elapsed_time': 116.11862540245056}
{'epoch': 58, 'lr': 0.0008144951148861737, 'train_loss': 0.0016395561809350988, 'mae': 0.2604146, 'elapsed_time': 116.19142484664917}
{'epoch': 59, 'lr': 0.0008083889915582231, 'train_loss': 0.0017282043726259387, 'mae': 0.28779772, 'elapsed_time': 116.02285027503967}
{'epoch': 60, 'lr': 0.0008022080115363123, 'train_loss': 0.0018618711057465309, 'mae': 0.28353435, 'elapsed_time': 116.42748522758484}
{'epoch': 61, 'lr': 0.0007959536998847739, 'train_loss': 0.0015790588129250083, 'mae': 0.2616522, 'elapsed_time': 116.53811860084534}
{'epoch': 62, 'lr': 0.0007896275997614226, 'train_loss': 0.0017054775968006386, 'mae': 0.25671214, 'elapsed_time': 118.22880697250366}
{'epoch': 63, 'lr': 0.0007832312720368044, 'train_loss': 0.0016691083590900605, 'mae': 0.3077572, 'elapsed_time': 118.42373204231262}
{'epoch': 64, 'lr': 0.0007767662949090749, 'train_loss': 0.001777245444748637, 'mae': 0.270784, 'elapsed_time': 118.7077260017395}
{'epoch': 65, 'lr': 0.000770234263514603, 'train_loss': 0.0017976137898946297, 'mae': 0.2553716, 'elapsed_time': 117.76894688606262}
{'epoch': 66, 'lr': 0.0007636367895343944, 'train_loss': 0.0014889989225990018, 'mae': 0.25894782, 'elapsed_time': 117.40463423728943}
{'epoch': 67, 'lr': 0.0007569755007964335, 'train_loss': 0.001801005759288176, 'mae': 0.28069758, 'elapsed_time': 116.83944153785706}
{'epoch': 68, 'lr': 0.0007502520408740415, 'train_loss': 0.0015886082724378629, 'mae': 0.24246752, 'elapsed_time': 118.32577586174011}
{'epoch': 69, 'lr': 0.0007434680686803488, 'train_loss': 0.0015317342805104038, 'mae': 0.2801412, 'elapsed_time': 117.88049292564392}
{'epoch': 70, 'lr': 0.0007366252580589837, 'train_loss': 0.0015555227166714457, 'mae': 0.27994302, 'elapsed_time': 117.96373414993286}
{'epoch': 71, 'lr': 0.0007297252973710754, 'train_loss': 0.0019080157720683189, 'mae': 0.2934119, 'elapsed_time': 118.2492048740387}
{'epoch': 72, 'lr': 0.0007227698890786777, 'train_loss': 0.001416007524653726, 'mae': 0.22495514, 'elapsed_time': 118.02184557914734}
