Fold 0
train run device : cuda:0
{'epoch': 44, 'lr': 0.0008913130516324728, 'train_loss': 0.0018751739660701346, 'mae': 0.30749536, 'elapsed_time': 115.76500463485718}
{'epoch': 45, 'lr': 0.0008864040551740152, 'train_loss': 0.0024957780212144175, 'mae': 0.3138249, 'elapsed_time': 116.23914241790771}
{'epoch': 46, 'lr': 0.000881400952972015, 'train_loss': 0.0018724424439878003, 'mae': 0.3003689, 'elapsed_time': 115.9401638507843}
{'epoch': 47, 'lr': 0.0008763049794670771, 'train_loss': 0.001815595803689767, 'mae': 0.29266125, 'elapsed_time': 115.69167065620422}
{'epoch': 48, 'lr': 0.0008711173920144113, 'train_loss': 0.0018431440220418713, 'mae': 0.28759652, 'elapsed_time': 115.82341885566711}
{'epoch': 49, 'lr': 0.0008658394705735983, 'train_loss': 0.0019433974832138374, 'mae': 0.2835052, 'elapsed_time': 115.78396415710449}
{'epoch': 50, 'lr': 0.0008604725173927781, 'train_loss': 0.0017164970084659465, 'mae': 0.2939377, 'elapsed_time': 116.05986046791077}
{'epoch': 51, 'lr': 0.0008550178566873405, 'train_loss': 0.001810056075325385, 'mae': 0.41428897, 'elapsed_time': 115.8101737499237}
{'epoch': 52, 'lr': 0.0008494768343131951, 'train_loss': 0.0019161563643147568, 'mae': 0.2894807, 'elapsed_time': 116.04704570770264}
{'epoch': 53, 'lr': 0.0008438508174347005, 'train_loss': 0.0017252684427046317, 'mae': 0.28198096, 'elapsed_time': 115.84003710746765}
{'epoch': 54, 'lr': 0.0008381411941873374, 'train_loss': 0.0017103391534706233, 'mae': 0.28012344, 'elapsed_time': 115.830974817276}
{'epoch': 55, 'lr': 0.0008323493733352073, 'train_loss': 0.001753951387444105, 'mae': 0.29486436, 'elapsed_time': 116.0532534122467}
{'epoch': 56, 'lr': 0.0008264767839234405, 'train_loss': 0.001748392706017292, 'mae': 0.29589626, 'elapsed_time': 116.0350935459137}
{'epoch': 57, 'lr': 0.000820524874925601, 'train_loss': 0.0016032030288749691, 'mae': 0.2667673, 'elapsed_time': 115.91253066062927}
{'epoch': 58, 'lr': 0.0008144951148861737, 'train_loss': 0.0018553846887873844, 'mae': 0.27726188, 'elapsed_time': 115.724764585495}
{'epoch': 59, 'lr': 0.0008083889915582231, 'train_loss': 0.0016781571494616603, 'mae': 0.30541605, 'elapsed_time': 116.13753914833069}
{'epoch': 60, 'lr': 0.0008022080115363123, 'train_loss': 0.0017381843764549695, 'mae': 0.25614318, 'elapsed_time': 116.02721762657166}
{'epoch': 61, 'lr': 0.0007959536998847739, 'train_loss': 0.0015647210684377204, 'mae': 0.26562804, 'elapsed_time': 116.03659892082214}
{'epoch': 62, 'lr': 0.0007896275997614226, 'train_loss': 0.0015478659905073578, 'mae': 0.25763896, 'elapsed_time': 116.13794541358948}
{'epoch': 63, 'lr': 0.0007832312720368044, 'train_loss': 0.001594336758718892, 'mae': 0.27908292, 'elapsed_time': 115.89550185203552}
